index	word	lemma	posUni	posFine	morph	head	dep	_	coarse_dep
2	ama	ama	NOUN	_	Case=Abs|Definite=Def|Number=Sing	9	nsubj	SpaceAfter=No	nsubj
1	eroale	eroale	NOUN	_	_	4	nmod	_	nmod
3	muturren	mutur	NOUN	_	Case=Gen	5	nmod	_	nmod
5	potentzial-diferentzia	potentzial+-+diferentzia	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	14	nsubj	_	nsubj
11	korrontearen	korronte	NOUN	_	Animacy=Inan|Case=Gen|Definite=Def|Number=Sing	12	nmod	_	nmod
12	intentsitatea	intentsitate	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	5	conj	_	conj
3	lurrean	lur	NOUN	_	Animacy=Inan|Case=Ine|Definite=Def|Number=Sing	4	obl	_	obl
7	orriei	orri	NOUN	_	Animacy=Inan|Case=Dat|Definite=Def|Number=Plur	8	iobj	_	iobj
14	besoa	beso	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	15	obj	_	obj
18	folio	folio	NOUN	_	_	10	iobj	_	iobj
1	ihesaren	ihes	NOUN	_	Case=Gen|Definite=Def|Number=Sing	2	nmod	_	nmod
2	jatorria	jatorri	NOUN	_	Case=Abs|Definite=Def|Number=Sing	3	obj	_	obj
6	zentraleko	zentral	NOUN	_	Case=Loc|Definite=Def|Number=Sing	8	nmod	_	nmod
7	larrialdi	larrialdi	NOUN	_	_	8	nmod	_	nmod
8	taldeak	talde	NOUN	_	Animacy=Inan|Case=Erg|Definite=Def|Number=Sing	11	nsubj	_	nsubj
9	erreaktorea	erreaktore	NOUN	_	Case=Abs|Definite=Def|Number=Sing	10	obj	_	obj
17	kalteak	kalte	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Plur	18	obj	_	obj
2	ospe	ospe	NOUN	_	_	4	obj	_	obj
5	kasinoari	kasino	NOUN	_	Animacy=Inan|Case=Dat|Definite=Def|Number=Sing	4	iobj	SpaceAfter=No	iobj
2	debuta	debut	NOUN	_	Case=Abs|Definite=Def|Number=Sing	5	obj	_	obj
4	urtean	urte	NOUN	_	Animacy=Inan|Case=Ine|Definite=Def|Number=Sing	5	obl	_	obl
9	atezainak	atezain	NOUN	_	Animacy=Anim|Case=Erg|Definite=Def|Number=Sing	5	nsubj	SpaceAfter=No	nsubj
3	jardunaldietako	jardunaldi	NOUN	_	Animacy=Inan|Case=Loc|Definite=Def|Number=Plur	4	nmod	_	nmod
4	bolada	bolada	NOUN	_	_	6	obj	_	obj
7	asmoz	asmo	NOUN	_	Animacy=Inan|Case=Ins|Definite=Ind	8	obl	_	obl
2	aurrekaria	aurrekari	NOUN	_	Case=Abs|Definite=Def|Number=Sing	3	nsubj	_	nsubj
6	krimen	krimen	NOUN	_	Animacy=Inan|Case=Abs|Definite=Ind	8	nsubj	_	nsubj
7	inpunitatean	inpunitate	NOUN	_	Case=Ine|Definite=Def|Number=Sing	8	obl	_	obl
1	kadeteen	kadete	NOUN	_	Case=Gen|Definite=Def|Number=Plur	2	nmod	_	nmod
2	finalean	final	NOUN	_	Case=Ine|Definite=Def|Number=Sing	7	obl	SpaceAfter=No	obl
9	indarrak	indar	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Plur	7	obj	SpaceAfter=No	obj
6	entrenatzailea	entrenatzaile	NOUN	_	Case=Abs|Definite=Def|Number=Sing	0	root	SpaceAfter=No	root
6	aldiz	aldi	NOUN	_	Animacy=Inan|Case=Ins|Definite=Ind	3	obl	SpaceAfter=No	obl
8	mendian	mendi	NOUN	_	Animacy=Inan|Case=Ine|Definite=Def|Number=Sing	9	obl	_	obl
11	zailtasunak	zailtasun	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Plur	3	obj	SpaceAfter=No	obj
2	zuzendaritzako	zuzendaritza	NOUN	_	Animacy=Inan|Case=Loc|Definite=Def|Number=Sing	3	nmod	_	nmod
3	kideek	kide	NOUN	_	Case=Erg|Definite=Def|Number=Plur	11	nsubj	_	nsubj
5	taldea	talde	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	6	obj	_	obj
8	aurkaria	aurkari	NOUN	_	Case=Abs|Definite=Def|Number=Sing	9	obj	_	obj
8	kanta	kanta	NOUN	_	_	5	obl	_	obl
11	ondorio	ondorio	NOUN	_	_	13	obl	_	obl
4	filosofo	filosofo	NOUN	_	_	7	iobj	_	iobj
6	aurre	aurre	NOUN	_	Case=Abs|Definite=Ind	7	compound	_	compound
10	hipotesi	hipotesi	NOUN	_	_	12	obj	_	obj
4	jokalariek	jokalari	NOUN	_	Animacy=Anim|Case=Erg|Definite=Def|Number=Plur	7	nsubj	_	nsubj
5	lan	lan	NOUN	_	_	7	obj	_	obj
1	ekarrizketak	elkarrizketa	NOUN	_	Case=Erg|Definite=Def|Number=Sing	6	nsubj	_	nsubj
3	burujabetasunaren	burujabetasun	NOUN	_	Case=Gen	5	nmod	_	nmod
5	desadostasunak	desadostasun	NOUN	_	Case=Abs|Definite=Def|Number=Plur	6	obj	_	obj
4	herriko	herri	NOUN	_	Case=Loc|Definite=Def|Number=Sing	6	nmod	_	nmod
5	zesta	zesta	NOUN	_	_	6	nmod	_	nmod
6	txapelketa	txapelketa	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	2	nsubj	SpaceAfter=No	nsubj
1	agiriak	agiri	NOUN	_	Animacy=Inan|Case=Erg|Definite=Def|Number=Sing	7	nsubj	_	nsubj
2	eskubide	eskubide	NOUN	_	_	7	obj	_	obj
5	modu	modu	NOUN	_	_	7	obl	_	obl
6	arrazoirik	arrazoi	NOUN	_	Animacy=Inan|Case=Par|Definite=Ind	3	obj	SpaceAfter=No	obj
