index	word	lemma	posUni	posFine	morph	head	dep	_	coarse_dep
10	azalduko	azaldu	VERB	_	Aspect=Prosp|VerbForm=Part	0	root	_	root
11	ditu	*edun	AUX	_	Mood=Ind|Number[abs]=Plur|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	10	aux	SpaceAfter=No	aux
2	agortutako	agortu	VERB	_	Case=Loc|VerbForm=Part	3	advcl	_	advcl
6	zegoen	egon	VERB	_	Aspect=Prog|Mood=Ind|Number[abs]=Sing|Person[abs]=3	0	root	_	root
7	eserita	eseri	VERB	_	VerbForm=Part	6	advcl	_	advcl
14	zeukan	eduki	VERB	_	Aspect=Prog|Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	6	conj	SpaceAfter=No	conj
5	lotuta	lotu	VERB	_	VerbForm=Part	6	xcomp	_	xcomp
6	daude	egon	VERB	_	Aspect=Prog|Mood=Ind|Number[abs]=Plur|Person[abs]=3	0	root	SpaceAfter=No	root
4	diozu	esan	VERB	_	Aspect=Prog|Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=2	0	root	SpaceAfter=No	root
8	hasi	hasi	VERB	_	Aspect=Perf|VerbForm=Part	0	root	_	root
9	zen	izan	AUX	_	Mood=Ind|Number[abs]=Sing|Person[abs]=3	8	aux	_	aux
2	egongo	egon	VERB	_	Aspect=Prosp|VerbForm=Part	0	root	_	root
3	zen	izan	AUX	_	Mood=Ind|Number[abs]=Sing|Person[abs]=3	2	aux	_	aux
14	zegoen	egon	VERB	_	Aspect=Prog|Mood=Ind|Number[abs]=Sing|Person[abs]=3	2	conj	SpaceAfter=No	conj
8	dute	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[erg]=Plur|Person[abs]=3|Person[erg]=3	11	aux	_	aux
11	konbentzitu	konbentzitu	VERB	_	Aspect=Perf|VerbForm=Part	0	root	SpaceAfter=No	root
1	egin	egin	VERB	_	VerbForm=Part	0	root	_	root
5	igotzeko	igo	VERB	_	Case=Loc	6	advcl	_	advcl
7	du	ukan	VERB	_	Aspect=Prog|Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	0	root	_	root
11	bihurtu	bihurtu	VERB	_	Aspect=Perf|VerbForm=Part	0	root	_	root
12	dira	izan	AUX	_	Mood=Ind|Number[abs]=Plur|Person[abs]=3	11	aux	_	aux
8	erakarritako	erakarri	VERB	_	Case=Loc|VerbForm=Part	9	advcl	_	advcl
17	hartu	hartu	VERB	_	Aspect=Perf|VerbForm=Part	0	root	_	root
18	zuen	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	17	aux	_	aux
27	izan	izan	AUX	_	Aspect=Perf|VerbForm=Part	26	cop	_	cop
28	zen	izan	AUX	_	Mood=Ind|Number[abs]=Sing|Person[abs]=3	27	aux	_	aux
10	jokatutako	jokatu	VERB	_	Case=Loc|VerbForm=Part	11	advcl	_	advcl
16	eman	eman	VERB	_	VerbForm=Part	20	advcl	_	advcl
19	emateko	eman	VERB	_	Case=Loc	16	conj	_	conj
21	da	izan	VERB	_	Aspect=Prog|Mood=Ind|Number[abs]=Sing|Person[abs]=3	0	root	SpaceAfter=No	root
6	aipatzen	aipatu	VERB	_	Aspect=Imp|VerbForm=Inf	8	ccomp	_	ccomp
7	duela	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	6	aux	_	aux
8	azaldu	azaldu	VERB	_	Aspect=Perf|VerbForm=Part	0	root	_	root
9	zuen	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	8	aux	_	aux
2	ulertu	ulertu	VERB	_	VerbForm=Part	4	csubj	_	csubj
4	da	izan	VERB	_	Aspect=Prog|Mood=Ind|Number[abs]=Sing|Person[abs]=3	0	root	_	root
7	zituela	*edun	AUX	_	Mood=Ind|Number[abs]=Plur|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	9	aux	_	aux
9	hartu	hartu	VERB	_	VerbForm=Part	2	ccomp	_	ccomp
11	egindako	egin	VERB	_	Case=Loc|VerbForm=Part	13	advcl	_	advcl
4	dirudi	iruditu	VERB	_	Aspect=Prog|Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	0	root	_	root
6	gainditu	gainditu	VERB	_	Aspect=Perf|VerbForm=Part	0	root	_	root
7	zituen	*edun	AUX	_	Mood=Ind|Number[abs]=Plur|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	6	aux	SpaceAfter=No	aux
1	egin	egin	VERB	_	VerbForm=Inf	0	root	_	root
2	itzazu	*ezan	AUX	_	Mood=Imp|Number[abs]=Plur|Number[erg]=Sing|Person[abs]=3|Person[erg]=2	1	aux	_	aux
5	proposatzen	proposatu	VERB	_	Aspect=Imp|VerbForm=Inf	8	acl	_	acl
6	zaizkizun	izan	AUX	_	Mood=Ind|Number[abs]=Plur|Number[dat]=Sing|Person[abs]=3|Person[dat]=2	5	aux	_	aux
4	izango	izan	VERB	_	Aspect=Prosp|VerbForm=Part	6	ccomp	_	ccomp
5	direla	izan	AUX	_	Mood=Ind|Number[abs]=Plur|Person[abs]=3	4	aux	_	aux
6	jakinarazi	jakinaraz	VERB	_	Voice=Cau	0	root	_	root
7	zuen	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	6	aux	SpaceAfter=No	aux
3	izan	izan	AUX	_	VerbForm=Part	2	cop	_	cop
5	duela	ukan	VERB	_	_	6	ccomp	_	ccomp
6	azaldu	azaldu	VERB	_	Aspect=Perf|VerbForm=Part	0	root	_	root
7	zuen	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	6	aux	SpaceAfter=No	aux
