Script	Run	Model	AUC
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	1037408-RANDOM	RANDOM	50.36176511089941
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	1097209-RANDOM	RANDOM	50.38072466907707
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	1250512-RANDOM	RANDOM	50.40367832840461
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	1402481-RANDOM	RANDOM	50.450558456660886
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	1564110-RANDOM	RANDOM	50.40357480551846
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	1901020-RANDOM	RANDOM	50.38137499533294
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	2259508-RANDOM	RANDOM	50.381520882589655
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	2674053-RANDOM	RANDOM	50.38351694481147
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	3562424-RANDOM	RANDOM	50.450432197206766
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	38098-RANDOM	RANDOM	50.36156942986095
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	3859656-RANDOM	RANDOM	50.383619430140314
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4208058-RANDOM	RANDOM	50.38354417437124
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4605595-RANDOM	RANDOM	50.4035541237416
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4700005-RANDOM	RANDOM	50.380834968170134
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5078862-RANDOM	RANDOM	50.38083998513076
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5384399-RANDOM	RANDOM	50.38073521265677
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5454278-RANDOM	RANDOM	50.40356334399297
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5476292-RANDOM	RANDOM	50.37731994650184
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5675313-RANDOM	RANDOM	50.3618756952839
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5944332-RANDOM	RANDOM	50.383485240553455
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	6297239-RANDOM	RANDOM	50.361751800624305
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	6382973-RANDOM	RANDOM	50.40358270022993
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	706393-RANDOM	RANDOM	50.381369650499025
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	7263428-RANDOM	RANDOM	50.450372444085005
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	7601176-RANDOM	RANDOM	50.380684877278455
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	7613264-RANDOM	RANDOM	50.361291576838795
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	7934746-RANDOM	RANDOM	50.403641205184215
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	8022019-RANDOM	RANDOM	50.40364841500488
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	8029247-RANDOM	RANDOM	50.38082409234776
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	8076542-RANDOM	RANDOM	50.383543740028934
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	8999470-RANDOM	RANDOM	50.450499309928766
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	9200836-RANDOM	RANDOM	50.40356894289969
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	9326433-RANDOM	RANDOM	50.380768107203856
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	9555570-RANDOM	RANDOM	50.383468241403676
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	9739025-RANDOM	RANDOM	50.403465174544415
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	9989447-RANDOM	RANDOM	50.38062789011878
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	REAL	REAL	50.361834105217454
