Script	Run	Model	AUC
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	1251526-RANDOM	RANDOM	56.67791022072757
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	1452469-RANDOM	RANDOM	56.75938533818509
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	1507469-RANDOM	RANDOM	56.76014963299133
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	1692117-RANDOM	RANDOM	57.46625300613855
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	2134969-RANDOM	RANDOM	56.672614247066704
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	2369526-RANDOM	RANDOM	56.78416712566381
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	2422822-UNIV	UNIV	56.67318377901787
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	2537458-RANDOM	RANDOM	56.784186087786026
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	2556246-RANDOM	RANDOM	57.431104103006035
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	2755666-RANDOM	RANDOM	56.673313970022164
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	3233145-RANDOM	RANDOM	57.416625565522736
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	3428912-RANDOM	RANDOM	56.67795496926624
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	3532600-RANDOM	RANDOM	56.88551312603031
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	3630059-RANDOM	RANDOM	56.76008586301019
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	3673127-RANDOM	RANDOM	56.67798183006592
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	3724018-RANDOM	RANDOM	56.886199773614166
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	3757789-RANDOM	RANDOM	56.66400777605786
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	3878117-RANDOM	RANDOM	56.66457218937148
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	3901629-RANDOM	RANDOM	56.871326955515485
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4110105-RANDOM	RANDOM	57.454648486545125
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4431623-RANDOM	RANDOM	56.697467111961984
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4459495-RANDOM	RANDOM	56.89427857713075
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4663483-RANDOM	RANDOM	57.45524712055588
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4895196-RANDOM	RANDOM	56.67260861300368
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5208144-RANDOM	RANDOM	56.862868276259434
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5268302-RANDOM	RANDOM	56.89353856584831
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5341095-UNIV	UNIV	56.663801127772594
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5619566-RANDOM	RANDOM	56.758218128539426
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5673525-RANDOM	RANDOM	57.45576851606966
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5695281-RANDOM	RANDOM	57.45453156047127
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5779375-RANDOM	RANDOM	56.78415745707037
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	6108-UNIV	UNIV	56.698200780444424
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	623448-RANDOM	RANDOM	56.758188256938354
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	6369229-RANDOM	RANDOM	56.76357326309133
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	6421013-UNIV	UNIV	56.66462664474139
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	6580270-RANDOM	RANDOM	57.416055481525206
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	6626522-RANDOM	RANDOM	57.35212004647933
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	6674821-RANDOM	RANDOM	57.45576276427634
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	6683474-RANDOM	RANDOM	57.454529287936005
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	6800257-RANDOM	RANDOM	57.41916094506304
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	6807545-RANDOM	RANDOM	57.41629410702532
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	6940034-RANDOM	RANDOM	57.41921004719605
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	7054131-RANDOM	RANDOM	56.86283299183164
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	7370003-RANDOM	RANDOM	57.45455727317695
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	7626687-UNIV	UNIV	56.6645321301614
