Script	Run	Model	AUC
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	1058067-RANDOM	RANDOM	58.02587818662678
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	1249877-UNIV	UNIV	57.91854828509393
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	1351235-UNIV	UNIV	57.92743918996023
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	1397253-UNIV	UNIV	57.91853242046044
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	147031-RANDOM	RANDOM	58.351967367201986
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	150947-UNIV	UNIV	57.9159245081485
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	1576110-UNIV	UNIV	57.915891705760465
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	1655433-UNIV	UNIV	57.91590391765604
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	1805696-UNIV	UNIV	57.93762231462369
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	1810136-RANDOM	RANDOM	58.01447092053877
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	1877687-UNIV	UNIV	57.927421145881375
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	2135432-UNIV	UNIV	57.927437686384955
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	214275-RANDOM	RANDOM	58.25654177620399
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	2221357-UNIV	UNIV	57.93717526038971
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	2260419-UNIV	UNIV	57.92699842294786
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	2316425-RANDOM	RANDOM	58.36677344907852
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	2384871-RANDOM	RANDOM	58.36743184318336
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	2491722-RANDOM	RANDOM	58.01681587586707
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	2540717-RANDOM	RANDOM	58.032107813054864
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	2592511-RANDOM	RANDOM	58.25654382130625
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	2707350-UNIV	UNIV	57.93762279662403
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	2859372-RANDOM	RANDOM	58.014422679816306
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	3125179-RANDOM	RANDOM	58.27245464591114
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	3174446-RANDOM	RANDOM	58.021825056545424
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	3663295-RANDOM	RANDOM	58.37123082825413
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	3714432-UNIV	UNIV	57.91593179747098
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	3833655-RANDOM	RANDOM	57.92744918591888
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	3834454-RANDOM	RANDOM	58.01678206296593
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	3898296-UNIV	UNIV	57.91854393714099
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	3904640-UNIV	UNIV	57.91811751972368
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	3929577-UNIV	UNIV	57.92745019120978
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4014882-UNIV	UNIV	57.93717286193524
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4129212-RANDOM	RANDOM	58.370809744222804
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4338244-UNIV	UNIV	57.91591310224427
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4356381-RANDOM	RANDOM	57.918552558989575
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	443539-UNIV	UNIV	57.918555646482744
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4454008-RANDOM	RANDOM	58.01506140653339
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4517396-RANDOM	RANDOM	58.35231745196981
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4572539-UNIV	UNIV	57.93761941420807
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4687895-UNIV	UNIV	57.937164425064545
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4730350-RANDOM	RANDOM	58.35022207248437
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4782305-RANDOM	RANDOM	58.351968638699
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4887814-UNIV	UNIV	57.915935277477715
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4969765-UNIV	UNIV	57.91811367606729
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5191754-RANDOM	RANDOM	58.37079061654076
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5208131-UNIV	UNIV	57.915919455978056
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5233197-UNIV	UNIV	57.92742786846863
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5394157-RANDOM	RANDOM	58.01441107592496
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5599818-UNIV	UNIV	57.91597725663377
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5600210-UNIV	UNIV	57.9274336477291
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5668189-RANDOM	RANDOM	57.937606648040095
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5791787-RANDOM	RANDOM	57.91590362808497
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5835802-UNIV	UNIV	57.93717350111724
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5880541-UNIV	UNIV	57.91592450977588
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5883198-RANDOM	RANDOM	57.93716032523235
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	593118-RANDOM	RANDOM	57.92744123300527
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	6022679-RANDOM	RANDOM	58.26248476447006
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	6100518-RANDOM	RANDOM	58.01549787644861
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	6140208-RANDOM	RANDOM	58.02180710201456
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	6216705-RANDOM	RANDOM	58.03211312767086
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	6265759-RANDOM	RANDOM	57.91590348415106
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	6536048-RANDOM	RANDOM	58.25651268740075
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	6558609-RANDOM	RANDOM	58.35199810412333
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	6594945-UNIV	UNIV	57.91592513522878
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	6878086-UNIV	UNIV	57.91548225892276
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	689511-UNIV	UNIV	57.915932466083156
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	6909226-UNIV	UNIV	57.915916319998004
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	6921132-UNIV	UNIV	57.91592988076645
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	7042541-UNIV	UNIV	57.91592775610288
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	7054303-RANDOM	RANDOM	58.2580478119596
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	7280464-UNIV	UNIV	57.93716874641912
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	7445568-UNIV	UNIV	57.91623557404393
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	7549938-UNIV	UNIV	57.91810907542806
forWords_Finnish_RandomOrder_Nouns_Coarse_FineSurprisal.py	7597069-RANDOM	RANDOM	58.02589961135536
