Script	Run	Model	AUC
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	1029480-RANDOM	RANDOM	49.163562354904464
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	1317536-RANDOM	RANDOM	48.92211802685739
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	1419377-UNIV	UNIV	49.063713024794986
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	1451512-RANDOM	RANDOM	49.07450126123116
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	1626189-UNIV	UNIV	49.06808373589553
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	1902265-RANDOM	RANDOM	49.17550873251924
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	1909804-RANDOM	RANDOM	49.171143137136184
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	2092946-RANDOM	RANDOM	48.907614856563235
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	2221976-RANDOM	RANDOM	49.16680379342034
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	2314254-RANDOM	RANDOM	49.065146707992305
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	2425454-UNIV	UNIV	48.90460989736107
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	2522540-RANDOM	RANDOM	48.864275368125575
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	2620627-UNIV	UNIV	49.06652566160361
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	2647521-RANDOM	RANDOM	49.175031559644054
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	2816274-UNIV	UNIV	48.86313366662407
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	3095125-RANDOM	RANDOM	48.92207052980368
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	310292-RANDOM	RANDOM	48.919850391177384
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	3412707-RANDOM	RANDOM	48.90486175632819
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	3636886-UNIV	UNIV	49.06309731678271
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	3933695-RANDOM	RANDOM	48.90778389926357
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	4080382-RANDOM	RANDOM	48.91038695026057
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	4162129-RANDOM	RANDOM	49.163913623700026
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	4178456-RANDOM	RANDOM	49.16666155344151
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	4180299-RANDOM	RANDOM	49.06546861006291
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	4245943-UNIV	UNIV	48.91055880315775
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	4284975-RANDOM	RANDOM	49.16641345882633
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	4340009-RANDOM	RANDOM	49.176356888958445
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	4542766-UNIV	UNIV	49.065146707992305
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	46367-RANDOM	RANDOM	49.17515259457542
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	4708933-RANDOM	RANDOM	49.16763181901081
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	4775555-UNIV	UNIV	48.90799800544154
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	4789026-RANDOM	RANDOM	49.06244461816025
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	481277-RANDOM	RANDOM	48.91992099064932
forWords_Hungarian_RandomOrder_Nouns_Coarse_FineSurprisal.py	4836277-RANDOM	RANDOM	48.9076824271453
