Script	Run	Model	AUC
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1073467-RANDOM	RANDOM	40.84679140268901
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1314740-RANDOM	RANDOM	40.84513790982789
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1411983-RANDOM	RANDOM	40.58077562549484
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1594383-RANDOM	RANDOM	40.93650152520713
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1623826-RANDOM	RANDOM	40.93382585046948
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1641343-RANDOM	RANDOM	40.55033170437141
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1660890-RANDOM	RANDOM	40.5308588080815
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1763142-RANDOM	RANDOM	40.936106219221024
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1842377-UNIV	UNIV	40.43488385053834
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1936667-UNIV	UNIV	40.428637359416825
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1987034-RANDOM	RANDOM	40.490359546762164
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1999158-RANDOM	RANDOM	40.45144709442472
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	2097691-RANDOM	RANDOM	40.48128781241547
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	2139209-UNIV	UNIV	40.42030694841422
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	2172753-UNIV	UNIV	40.403754161118265
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	2190979-RANDOM	RANDOM	40.81182503011376
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	2218225-RANDOM	RANDOM	40.884706032174975
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	2219272-RANDOM	RANDOM	40.520770994576544
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	2224503-RANDOM	RANDOM	40.50703929558369
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	2271245-UNIV	UNIV	40.436834668249645
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	2282999-UNIV	UNIV	40.42775697702873
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	2291719-UNIV	UNIV	40.418973106264
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	2352898-RANDOM	RANDOM	40.63689778432915
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	2372334-UNIV	UNIV	40.43263253065852
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	2450988-UNIV	UNIV	40.484312018525735
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	255338-UNIV	UNIV	40.485108199259
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	2606603-UNIV	UNIV	40.447266327647554
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	2686670-RANDOM	RANDOM	40.49517408015093
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	2701320-RANDOM	RANDOM	40.552826416731875
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	2739523-RANDOM	RANDOM	40.44933224774787
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	2756220-RANDOM	RANDOM	40.49492372878564
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	2779047-RANDOM	RANDOM	40.49314266735625
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	2954667-RANDOM	RANDOM	40.56260434371593
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	3051816-RANDOM	RANDOM	40.46906280438283
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	3223738-UNIV	UNIV	40.4412563950363
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	339490-RANDOM	RANDOM	40.52020882947929
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	340083-UNIV	UNIV	40.47097824239343
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	3479994-RANDOM	RANDOM	40.881021785078964
