Script	Run	Model	AUC
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1444951-RANDOM	RANDOM	47.5367853920516
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	148084-RANDOM	RANDOM	47.632853062180374
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	216943-RANDOM	RANDOM	47.79521685010259
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2190365-RANDOM	RANDOM	47.77816316935679
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2633900-RANDOM	RANDOM	47.95698824361275
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2909398-RANDOM	RANDOM	48.05647249140229
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	3005267-RANDOM	RANDOM	47.997694992171425
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	3232181-RANDOM	RANDOM	47.57320551047552
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	4473234-RANDOM	RANDOM	48.06142628505158
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	4534763-RANDOM	RANDOM	47.50370767687775
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	5743606-RANDOM	RANDOM	47.428257497603724
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	6012924-RANDOM	RANDOM	48.04719491170217
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	6143697-RANDOM	RANDOM	47.98618377034908
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	6426150-RANDOM	RANDOM	47.88483781192784
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	6452281-RANDOM	RANDOM	48.06750329057449
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	6884509-RANDOM	RANDOM	47.98833737537002
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	7143936-RANDOM	RANDOM	47.84686238368859
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	7227259-RANDOM	RANDOM	47.96851787696968
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	8105014-RANDOM	RANDOM	48.001633526377475
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	8167101-RANDOM	RANDOM	47.89437596607813
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	8220081-RANDOM	RANDOM	48.039029836338955
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	8656399-RANDOM	RANDOM	47.8284614646975
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	8916018-RANDOM	RANDOM	47.82753437164632
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	9407781-RANDOM	RANDOM	47.470300050462974
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	9520338-RANDOM	RANDOM	47.85803748972499
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	9548568-RANDOM	RANDOM	47.792967484275174
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	REAL	REAL	47.34506534519159
