あう	0	2
出す	2	18
べる	4	8
回る	6	3
づらい	8	4
切る	10	5
くださる	12	1
DERIV	14	4360
なければ	16	9
わす	18	1
できる	20	137
直す	22	7
てる	24	2
易い	26	2
合う	28	13
かす	30	1
込む	32	13
なさる	34	4
がたい	36	3
つづける	38	1
だす	40	2
ざるをえる	42	3
きる	44	7
難い	46	2
ざるを得る	48	4
みたいだ	50	4
すぎる	52	6
ちゃう	54	11
める	56	25
過ぎる	58	3
かねる	60	2
かける	62	8
げる	64	1
かも知れる	66	1
なら	68	6
済み	70	1
よう	72	1
いける	74	1
こむ	76	2
VAL	78	199
らす	80	4
VOICE/MOOD	82	2108
かもしれる	84	9
にくい	86	9
始める	88	22
まい	90	1
出来る	92	18
MOOD	94	96
良い	96	2
うる	98	2
POLITENESS	100	714
ね	102	1
らるる	104	1
べし	106	39
POLARITY	108	664
たー	110	1
でした	112	17
たら	114	37
がちだ	116	3
だめ	118	1
はじめる	120	1
やすい	122	30
尽くす	124	1
ようだ	126	181
ある	128	2
続ける	130	26
なる	132	108
だ	134	56
づめる	136	1
TAM	138	3737
らしい	140	9
そうだ	142	22
FIN	144	4109
