# ecc: Coordinate Conjunction
면서	ecc	1	[('면서', 'ecc')]	conjunctive

# ecs
서	ecs	1	[('서', 'ecs')]	Conjunctive ending (https://en.wikipedia.org/wiki/Korean_verbs)
면서	ecs	1	[('면서', 'ecs')]	conjunctive
아서	ecs	1	[('아서', 'ecs')]
어서	ecs	19	[('어서', 'ecs')]
리	ecs	1	[('으리', 'ecs')]

# ecx: Auxiliary Conjunction
면	ecx	3	[('으면', 'ecx'), ('면', 'ecx')]
려고	ecx	39	[('으려고', 'ecx'), ('려고', 'ecx')]	expresses speaker intention
고야	ecx	1	[('고야', 'ecx')]
곤	ecx	28	[('곤', 'ecx')]	Occurs in: V + 곤 하다 and V + 곤 했다 talk about habits of the present and past respectively
다	ecx	13	[('다', 'ecx')]	da suffix (normally this is ef)
아	ecx	279	[('아', 'ecx')]
게	ecx	1244	[('게', 'ecx')]	turns an adjective into an adverb (https://www.koreanwikiproject.com/wiki/A_+_게), "so that": https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/unit-3-lessons-51-58/lesson-56/
어	ecx	2026	[('어', 'ecx')]	clause connector (https://www.howtostudykorean.com/unit-3-intermediate-korean-grammar/lessons-67-75/lesson-70/). also table in https://en.wiktionary.org/wiki/%EC%9E%88%EB%8B%A4#Conjugation Cause/Reason marker
려	ecx	55	[('려', 'ecx'), ('으려', 'ecx')]	intentional
지	ecx	1749	[('지', 'ecx')]	https://en.wiktionary.org/wiki/%EC%A7%80#Suffix (also occurs with label ef)
고자	ecx	106	[('고자', 'ecx')]	so as to https://koreanwikiproject.com/wiki/%EA%B3%A0%EC%9E%90 https://letusstudykorean.com/grammar-%ea%b3%a0%ec%9e%90/
아야	ecx	107	[('아야', 'ecx')]	only when, even when https://en.wiktionary.org/wiki/%EC%95%84%EC%95%BC#Etymology_2
고	ecx	2442	[('고', 'ecx')]	I want to https://www.howtostudykorean.com/unit1/unit-1-lessons-17-25-2/lesson-17/ Conjunctive ending (https://en.wikipedia.org/wiki/Korean_verbs)
어야	ecx	593	[('어야', 'ecx')]	in order to https://keytokorean.com/grammar/%ec%95%84%ec%96%b4%ec%95%bc-do-a-so-you-can-do-b/ https://www.koreanwikiproject.com/wiki/%EC%95%84/%EC%96%B4_%2B_%EC%95%BC
나	ecx	3	[('나', 'ecx')]
게끔	ecx	4	[('게끔', 'ecx')]

# ef: Final ending marker. SLOTS: V, VI, VII
더군	ef	1	[('더군', 'ef')]
리	ef	2	[('리', 'ef'), ('으리', 'ef')]
읍시다	ef	1	[('읍시다', 'ef')]	The 읍 part is Slot IV.
리오	ef	1	[('으리오', 'ef')]
아	ef	4	[('아', 'ef')]
아야지	ef	2	[('아야지', 'ef')]
는단다	ef	1	[('는단다', 'ef')]
다니	ef	1	[('다니', 'ef')]
ㄹ쏘냐	ef	1	[('ㄹ쏘냐', 'ef')]
지라	ef	2	[('지라', 'ef'), ('으지라', 'ef')]
다더라	ef	1	[('다더라', 'ef')]
냐고	ef	2	[('으냐고', 'ef'), ('냐고', 'ef')]
ㄹ지어다	ef	1	[('ㄹ지어다', 'ef')]
지마라	ef	1	[('지마라', 'ef')]
너라	ef	1	[('너라', 'ef')]
나다	ef	1	[('나다', 'ef')]
시오	ef	1	[('시오', 'ef')]
는구나	ef	1	[('는구나', 'ef')]
대서야	ef	1	[('대서야', 'ef')]
옵니다	ef	1	[('옵니다', 'ef')]
는군	ef	2	[('는군', 'ef')]
ㄹ지어라	ef	1	[('ㄹ지어라', 'ef')]
아라	ef	7	[('아라', 'ef')]	SLOT VI. Allomorph of 어라
ㄹ걸	ef	2	[('ㄹ걸', 'ef')]
옵소서	ef	2	[('옵소서', 'ef')]
어야지	ef	4	[('어야지', 'ef')]
노라	ef	3	[('노라', 'ef')]
구려	ef	1	[('구려', 'ef')]
데	ef	1	[('데', 'ef')]
라고	ef	2	[('라고', 'ef')]
구	ef	1	[('구', 'ef')]
라	ef	611	[('으라', 'ef'), ('라', 'ef')]	https://en.wiktionary.org/wiki/라 lists various such suffixes: Imperative; that sb should; that; because. SLOT VI
ㅂ시다	ef	39	[('ㅂ시다', 'ef')]	The ㅂ part is SLOT IV.
ㄹ세	ef	4	[('ㄹ세', 'ef')]
랍니다	ef	2	[('랍니다', 'ef')]
니	ef	3	[('니', 'ef')]	Allomorph of Indicative (SLOT V)
야	ef	15	[('야', 'ef')]
라나	ef	1	[('라나', 'ef')]
고	ef	1	[('고', 'ef')]
로다	ef	2	[('로다', 'ef')]
ㄴ데	ef	1	[('ㄴ데', 'ef')]
란다	ef	2	[('란다', 'ef')]
여	ef	2	[('여', 'ef')]
외다	ef	2	[('외다', 'ef')]
ㄹ텐데	ef	1	[('ㄹ텐데', 'ef')]
군요	ef	1	[('군요', 'ef')]
예요	ef	2	[('예요', 'ef')]
ㄴ걸	ef	1	[('ㄴ걸', 'ef')]
리요	ef	4	[('리요', 'ef')]
니까요	ef	4	[('니까요', 'ef'), ('으니까요', 'ef')]
이요	ef	1	[('이요', 'ef')]
에요	ef	8	[('에요', 'ef')]
ㄹ까요	ef	2	[('ㄹ까요', 'ef')]
이랴	ef	1	[('이랴', 'ef')]
입니다	ef	1	[('입니다', 'ef')]
든가	ef	1	[('든가', 'ef')]
지예	ef	1	[('지예', 'ef')]
라구	ef	1	[('라구', 'ef')]
에	ef	1	[('에', 'ef')]	SLOT VI
다.	ef	1	[('다.', 'ef')]
다면	ef	1	[('다면', 'ef')]
ㄴ데요	ef	1	[('ㄴ데요', 'ef')]
거든	ef	4	[('거든', 'ef')]
ㄹ지	ef	2	[('ㄹ지', 'ef')]
랴	ef	9	[('으랴', 'ef'), ('랴', 'ef')]
ㄴ지라	ef	2	[('ㄴ지라', 'ef')]
는지	ef	12	[('는지', 'ef')]
세요	ef	8	[('세요', 'ef')]
니까	ef	14	[('니까', 'ef'), ('으니까', 'ef')]	cause/reason connective form, formal polite (table in https://en.wiktionary.org/wiki/%EC%9E%88%EB%8B%A4#Conjugation)
냐	ef	17	[('냐', 'ef')]
라네	ef	3	[('라네', 'ef')]
인가	ef	1	[('인가', 'ef')]
는지요	ef	3	[('는지요', 'ef')]
ㄹ지라	ef	1	[('ㄹ지라', 'ef')]
