Script	Run	Model	AUC
forWords_Sesotho-Pref_RandomOrder_Coarse_FineSurprisal.py	1284847-RANDOM	RANDOM	35.339875629855435
forWords_Sesotho-Pref_RandomOrder_Coarse_FineSurprisal.py	1536297-RANDOM	RANDOM	35.20156926546085
forWords_Sesotho-Pref_RandomOrder_Coarse_FineSurprisal.py	1552184-RANDOM	RANDOM	35.484992275599325
forWords_Sesotho-Pref_RandomOrder_Coarse_FineSurprisal.py	198152-RANDOM	RANDOM	35.32609366594433
forWords_Sesotho-Pref_RandomOrder_Coarse_FineSurprisal.py	2052730-RANDOM	RANDOM	35.32031334354151
forWords_Sesotho-Pref_RandomOrder_Coarse_FineSurprisal.py	2062659-RANDOM	RANDOM	35.486087647542014
forWords_Sesotho-Pref_RandomOrder_Coarse_FineSurprisal.py	2292286-RANDOM	RANDOM	35.40433122489862
forWords_Sesotho-Pref_RandomOrder_Coarse_FineSurprisal.py	2467834-RANDOM	RANDOM	35.31930072818308
forWords_Sesotho-Pref_RandomOrder_Coarse_FineSurprisal.py	2815283-RANDOM	RANDOM	35.25611061141182
forWords_Sesotho-Pref_RandomOrder_Coarse_FineSurprisal.py	2849692-RANDOM	RANDOM	35.39763592664561
forWords_Sesotho-Pref_RandomOrder_Coarse_FineSurprisal.py	3181204-RANDOM	RANDOM	35.31492052875841
forWords_Sesotho-Pref_RandomOrder_Coarse_FineSurprisal.py	3230807-RANDOM	RANDOM	35.227811228925894
forWords_Sesotho-Pref_RandomOrder_Coarse_FineSurprisal.py	3661151-RANDOM	RANDOM	35.39822380027628
forWords_Sesotho-Pref_RandomOrder_Coarse_FineSurprisal.py	38750-RANDOM	RANDOM	35.21594683670119
forWords_Sesotho-Pref_RandomOrder_Coarse_FineSurprisal.py	4025884-RANDOM	RANDOM	35.39247937747451
forWords_Sesotho-Pref_RandomOrder_Coarse_FineSurprisal.py	4203501-RANDOM	RANDOM	35.260655196804684
forWords_Sesotho-Pref_RandomOrder_Coarse_FineSurprisal.py	4478274-RANDOM	RANDOM	35.47754969744961
forWords_Sesotho-Pref_RandomOrder_Coarse_FineSurprisal.py	4489597-RANDOM	RANDOM	35.31025374307188
forWords_Sesotho-Pref_RandomOrder_Coarse_FineSurprisal.py	4524262-RANDOM	RANDOM	35.31756475513316
forWords_Sesotho-Pref_RandomOrder_Coarse_FineSurprisal.py	5018813-RANDOM	RANDOM	35.40257271979219
forWords_Sesotho-Pref_RandomOrder_Coarse_FineSurprisal.py	5416908-RANDOM	RANDOM	35.251824327894674
forWords_Sesotho-Pref_RandomOrder_Coarse_FineSurprisal.py	5513191-RANDOM	RANDOM	35.223077833222334
forWords_Sesotho-Pref_RandomOrder_Coarse_FineSurprisal.py	5703169-RANDOM	RANDOM	35.26790072979722
forWords_Sesotho-Pref_RandomOrder_Coarse_FineSurprisal.py	5902381-RANDOM	RANDOM	35.34756943968865
forWords_Sesotho-Pref_RandomOrder_Coarse_FineSurprisal.py	6391443-RANDOM	RANDOM	35.317073360273106
forWords_Sesotho-Pref_RandomOrder_Coarse_FineSurprisal.py	6465582-RANDOM	RANDOM	35.3155453842296
forWords_Sesotho-Pref_RandomOrder_Coarse_FineSurprisal.py	650491-RANDOM	RANDOM	35.20607233815581
forWords_Sesotho-Pref_RandomOrder_Coarse_FineSurprisal.py	6687950-RANDOM	RANDOM	35.484301650650245
forWords_Sesotho-Pref_RandomOrder_Coarse_FineSurprisal.py	6696232-RANDOM	RANDOM	35.476336074414995
