Script	Run	Model	AUC
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1015031-RANDOM	RANDOM	28.89814007120721
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1025636-UNIV	UNIV	28.792705871435896
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1113291-RANDOM	RANDOM	28.94901069170941
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1140702-UNIV	UNIV	28.842922220133325
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1177556-RANDOM	RANDOM	28.847550385539577
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1216998-UNIV	UNIV	28.863472001136863
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1242616-RANDOM	RANDOM	28.864920554051828
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1397440-RANDOM	RANDOM	28.998616290593514
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1446289-UNIV	UNIV	28.99366433249447
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1517242-RANDOM	RANDOM	28.784909160948583
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1530262-UNIV	UNIV	28.848225797842417
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1536419-RANDOM	RANDOM	28.934724672617534
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1560137-UNIV	UNIV	28.870403203248998
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1562078-UNIV	UNIV	28.787576179901976
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	158027-RANDOM	RANDOM	28.859902827809172
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1582539-UNIV	UNIV	28.984165529026377
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	167006-UNIV	UNIV	28.99476838089859
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1688255-RANDOM	RANDOM	28.997600083708846
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1745431-UNIV	UNIV	28.784105616003114
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1776403-RANDOM	RANDOM	29.010069261234445
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1781504-RANDOM	RANDOM	28.994221299889137
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	17852-RANDOM	RANDOM	28.922937053432328
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1790621-RANDOM	RANDOM	28.84430351604454
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1814522-UNIV	UNIV	28.8591494201689
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1827443-RANDOM	RANDOM	28.923422066662745
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1845046-RANDOM	RANDOM	28.954167903140124
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1854901-UNIV	UNIV	28.98415822463837
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1874541-UNIV	UNIV	28.868190677378692
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1936506-UNIV	UNIV	28.943719580358845
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	1991595-RANDOM	RANDOM	28.93928127574745
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	2004636-UNIV	UNIV	28.868261629494228
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	2027327-RANDOM	RANDOM	28.936009737893485
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	2105960-RANDOM	RANDOM	29.00096365407689
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	2118107-RANDOM	RANDOM	29.03885121975975
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	2200225-RANDOM	RANDOM	28.981391190144926
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	2202520-UNIV	UNIV	28.855663338686256
forWords_Hungarian_RandomOrder_Coarse_FineSurprisal.py	2271887-RANDOM	RANDOM	28.878696081930123
