Script	Run	Model	AUC
forWords_Turkish_RandomOrder_Coarse.py	102242	RANDOM	33.588700541706345
forWords_Turkish_RandomOrder_Coarse.py	105387	RANDOM	33.435746995552115
forWords_Turkish_RandomOrder_Coarse.py	1162947	RANDOM	33.36750111622427
forWords_Turkish_RandomOrder_Coarse.py	1239788	RANDOM	33.28375788523699
forWords_Turkish_RandomOrder_Coarse.py	1820693	RANDOM	33.3233554715209
forWords_Turkish_RandomOrder_Coarse.py	2096228	RANDOM	33.47860343648314
forWords_Turkish_RandomOrder_Coarse.py	2122946	RANDOM	33.340929933982
forWords_Turkish_RandomOrder_Coarse.py	2704466	RANDOM	32.97904898738823
forWords_Turkish_RandomOrder_Coarse.py	2713579	RANDOM	33.07829244852289
forWords_Turkish_RandomOrder_Coarse.py	3252646	RANDOM	33.103251631784985
forWords_Turkish_RandomOrder_Coarse.py	333544	RANDOM	33.491116760241766
forWords_Turkish_RandomOrder_Coarse.py	3502528	RANDOM	32.944244482360375
forWords_Turkish_RandomOrder_Coarse.py	3638236	RANDOM	33.43728753471447
forWords_Turkish_RandomOrder_Coarse.py	3736528	RANDOM	33.36390998946888
forWords_Turkish_RandomOrder_Coarse.py	3781468	RANDOM	33.4945157536031
forWords_Turkish_RandomOrder_Coarse.py	3789412	RANDOM	33.59248861680873
forWords_Turkish_RandomOrder_Coarse.py	418863	RANDOM	33.069291435742926
forWords_Turkish_RandomOrder_Coarse.py	4394115	REAL	33.36563444832065
forWords_Turkish_RandomOrder_Coarse.py	4534696	RANDOM	33.48507987966611
forWords_Turkish_RandomOrder_Coarse.py	456351	RANDOM	33.46592644564124
forWords_Turkish_RandomOrder_Coarse.py	4663558	REVERSE	33.67829825028527
forWords_Turkish_RandomOrder_Coarse.py	4747754	RANDOM	33.002291406321355
forWords_Turkish_RandomOrder_Coarse.py	4749106	RANDOM	33.44758217331339
forWords_Turkish_RandomOrder_Coarse.py	4849088	RANDOM	33.54884763455694
forWords_Turkish_RandomOrder_Coarse.py	4982158	RANDOM	33.281854660477435
forWords_Turkish_RandomOrder_Coarse.py	5003123	RANDOM	33.21506241595927
forWords_Turkish_RandomOrder_Coarse.py	5056293	RANDOM	33.38901292302198
forWords_Turkish_RandomOrder_Coarse.py	5343347	RANDOM	33.44701933166971
forWords_Turkish_RandomOrder_Coarse.py	5612519	RANDOM	33.39058820052328
forWords_Turkish_RandomOrder_Coarse.py	5700380	RANDOM	33.40236036202097
forWords_Turkish_RandomOrder_Coarse.py	5740382	RANDOM	33.42847065602256
forWords_Turkish_RandomOrder_Coarse.py	5913149	RANDOM	33.44579028615626
forWords_Turkish_RandomOrder_Coarse.py	5949707	RANDOM	33.47164923278511
forWords_Turkish_RandomOrder_Coarse.py	6134337	RANDOM	33.39141800920151
forWords_Turkish_RandomOrder_Coarse.py	6144309	RANDOM	33.174684785889944
forWords_Turkish_RandomOrder_Coarse.py	6311413	RANDOM	33.142866519274875
forWords_Turkish_RandomOrder_Coarse.py	6862655	RANDOM	33.42191194396572
forWords_Turkish_RandomOrder_Coarse.py	6886537	RANDOM	33.30438827228235
forWords_Turkish_RandomOrder_Coarse.py	7058731	RANDOM	33.12384424215987
forWords_Turkish_RandomOrder_Coarse.py	7334814	RANDOM	33.44212351708049
forWords_Turkish_RandomOrder_Coarse.py	7480595	RANDOM	33.43156694659086
forWords_Turkish_RandomOrder_Coarse.py	772338	RANDOM	33.02534601276374
forWords_Turkish_RandomOrder_Coarse.py	776364	RANDOM	32.977589323649994
forWords_Turkish_RandomOrder_Coarse.py	8063475	RANDOM	33.51066040968343
forWords_Turkish_RandomOrder_Coarse.py	8701723	RANDOM	33.49739229887322
forWords_Turkish_RandomOrder_Coarse.py	8716145	RANDOM	33.47475837664035
forWords_Turkish_RandomOrder_Coarse.py	8750727	RANDOM	33.46419110487203
forWords_Turkish_RandomOrder_Coarse.py	9128805	RANDOM	32.9605964282836
forWords_Turkish_RandomOrder_Coarse.py	9341523	RANDOM	33.44228809308172
forWords_Turkish_RandomOrder_Coarse.py	9555443	RANDOM	32.959429667358364
forWords_Turkish_RandomOrder_Coarse.py	9807955	RANDOM	33.40122992898578
forWords_Turkish_RandomOrder_Coarse.py	9903282	RANDOM	33.18114293125916
forWords_Turkish_RandomOrder_Fine.py	1565535	RANDOM	38.50759583677079
forWords_Turkish_RandomOrder_Fine.py	1824194	RANDOM	38.35267809852953
forWords_Turkish_RandomOrder_Fine.py	186423	RANDOM	38.46868946365721
forWords_Turkish_RandomOrder_Fine.py	1962283	RANDOM	38.49973402350785
forWords_Turkish_RandomOrder_Fine.py	245581	RANDOM	38.636357214451884
forWords_Turkish_RandomOrder_Fine.py	2510525	RANDOM	38.62845786448625
forWords_Turkish_RandomOrder_Fine.py	2686425	RANDOM	38.13474362990992
forWords_Turkish_RandomOrder_Fine.py	275778	RANDOM	38.66950632731365
forWords_Turkish_RandomOrder_Fine.py	3075065	RANDOM	38.646613606046145
forWords_Turkish_RandomOrder_Fine.py	3109518	RANDOM	38.39490871338729
forWords_Turkish_RandomOrder_Fine.py	3284868	RANDOM	38.49373868096844
forWords_Turkish_RandomOrder_Fine.py	3506727	RANDOM	38.495131050666984
forWords_Turkish_RandomOrder_Fine.py	3618616	RANDOM	38.67012231987232
forWords_Turkish_RandomOrder_Fine.py	3645689	RANDOM	38.51850808995309
forWords_Turkish_RandomOrder_Fine.py	364664	REVERSE	38.47909978886693
forWords_Turkish_RandomOrder_Fine.py	4290872	RANDOM	38.411343937681785
forWords_Turkish_RandomOrder_Fine.py	4360783	RANDOM	38.555864144595034
forWords_Turkish_RandomOrder_Fine.py	4370612	RANDOM	38.6969831090795
forWords_Turkish_RandomOrder_Fine.py	4449342	RANDOM	38.60685338560513
forWords_Turkish_RandomOrder_Fine.py	4605391	RANDOM	38.65481570453184
forWords_Turkish_RandomOrder_Fine.py	4763201	RANDOM	38.63613862333753
forWords_Turkish_RandomOrder_Fine.py	4944399	RANDOM	38.56475058939872
forWords_Turkish_RandomOrder_Fine.py	5002382	RANDOM	38.399564956092284
forWords_Turkish_RandomOrder_Fine.py	5096897	RANDOM	38.49352315606003
forWords_Turkish_RandomOrder_Fine.py	6010234	RANDOM	38.598284599666826
forWords_Turkish_RandomOrder_Fine.py	6218512	RANDOM	38.502364785157695
forWords_Turkish_RandomOrder_Fine.py	6333367	RANDOM	38.43700386739343
forWords_Turkish_RandomOrder_Fine.py	6558954	RANDOM	38.56765771676277
forWords_Turkish_RandomOrder_Fine.py	6609306	RANDOM	38.71897052459619
forWords_Turkish_RandomOrder_Fine.py	698178	RANDOM	38.29254651032529
forWords_Turkish_RandomOrder_Fine.py	72575	REAL	37.89451222802967
forWords_Turkish_RandomOrder_Fine.py	7283811	RANDOM	38.40880427537614
forWords_Turkish_RandomOrder_Fine.py	7287159	RANDOM	38.12441451869904
forWords_Turkish_RandomOrder_Fine.py	7432591	RANDOM	38.65753361451008
forWords_Turkish_RandomOrder_Fine.py	7518610	RANDOM	38.46011247393342
forWords_Turkish_RandomOrder_Fine.py	7733242	RANDOM	38.421315621032385
forWords_Turkish_RandomOrder_Fine.py	7798449	RANDOM	38.112729383011434
forWords_Turkish_RandomOrder_Fine.py	7982776	RANDOM	38.66057659566248
forWords_Turkish_RandomOrder_Fine.py	8014406	RANDOM	38.70332168913623
forWords_Turkish_RandomOrder_Fine.py	8128276	RANDOM	38.45966221053561
forWords_Turkish_RandomOrder_Fine.py	8168998	RANDOM	38.50598192899169
forWords_Turkish_RandomOrder_Fine.py	8272618	RANDOM	38.64730149185695
forWords_Turkish_RandomOrder_Fine.py	8350717	RANDOM	38.40171385476736
forWords_Turkish_RandomOrder_Fine.py	8354421	RANDOM	38.5501530653385
forWords_Turkish_RandomOrder_Fine.py	8408559	RANDOM	38.699120780593375
forWords_Turkish_RandomOrder_Fine.py	8670201	RANDOM	38.207289519893344
forWords_Turkish_RandomOrder_Fine.py	8742779	RANDOM	38.60060230565876
forWords_Turkish_RandomOrder_Fine.py	8890295	RANDOM	38.580660938910015
forWords_Turkish_RandomOrder_Fine.py	8926200	RANDOM	38.478589818089965
forWords_Turkish_RandomOrder_Fine.py	9455276	RANDOM	38.36534112081562
forWords_Turkish_RandomOrder_Fine.py	9977584	RANDOM	38.67479456598708
forWords_Turkish_RandomOrder_Fine.py	9978851	RANDOM	38.582397533760314
