Script	Run	Model	AUC
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	2539985-RANDOM	RANDOM	52.66929969326537
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	3095348-RANDOM	RANDOM	52.79306146217155
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	3310816-RANDOM	RANDOM	52.792767077293
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4150387-RANDOM	RANDOM	52.79349350505687
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5225522-RANDOM	RANDOM	52.74454618655709
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5673658-RANDOM	RANDOM	52.792944905205275
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	6189687-RANDOM	RANDOM	52.792930443961424
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	693234-RANDOM	RANDOM	52.6694481787688
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	7585150-RANDOM	RANDOM	52.776080049860454
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	8224146-RANDOM	RANDOM	52.669036622757154
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	8287124-RANDOM	RANDOM	52.66996097612228
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	8293783-RANDOM	RANDOM	52.87559119719519
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	8876255-RANDOM	RANDOM	52.891950572185756
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	940355-RANDOM	RANDOM	52.89219482903926
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	9784450-RANDOM	RANDOM	52.8918997299115
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	REAL	REAL	52.66954838496882
