Script	Run	Model	AUC
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	1066507-UNIV	UNIV	42.97940325761489
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	1284167-RANDOM	RANDOM	43.23503296785289
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	1350153-RANDOM	RANDOM	43.231063852153035
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	1542916-RANDOM	RANDOM	43.091907445031055
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	1568340-UNIV	UNIV	42.979291791212134
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	1777426-UNIV	UNIV	42.979012659433906
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	1877438-UNIV	UNIV	43.00454719289264
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	1929638-RANDOM	RANDOM	43.09175907479684
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	194207-RANDOM	RANDOM	43.004325735351564
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	2018783-UNIV	UNIV	43.003823746486624
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	2116233-UNIV	UNIV	42.97938589888821
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	2117803-RANDOM	RANDOM	43.235009180265514
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	2149459-RANDOM	RANDOM	43.234767289624784
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	2310151-RANDOM	RANDOM	43.1008343151871
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	234090-RANDOM	RANDOM	42.975214297341495
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	2774343-RANDOM	RANDOM	42.97541788008768
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	2987624-RANDOM	RANDOM	43.00058270394738
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	3158932-RANDOM	RANDOM	42.826582985279664
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	3173983-UNIV	UNIV	43.00421832500445
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	3446888-RANDOM	RANDOM	43.235078956841726
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	3634129-UNIV	UNIV	43.000179393742236
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4020448-RANDOM	RANDOM	43.23448550116706
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4067571-UNIV	UNIV	42.975214297341495
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4180729-RANDOM	RANDOM	43.23512187569421
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4254375-RANDOM	RANDOM	42.978857245244185
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4280947-RANDOM	RANDOM	43.000179393742236
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4404948-RANDOM	RANDOM	43.0043059572138
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4492876-UNIV	UNIV	43.00441611716089
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4652965-RANDOM	RANDOM	42.979343886835075
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4806280-RANDOM	RANDOM	43.23511699682902
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	4820286-RANDOM	RANDOM	43.004821066598616
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5267848-RANDOM	RANDOM	43.00017939374223
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	52681-RANDOM	RANDOM	43.091677546548354
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5326117-RANDOM	RANDOM	43.004100714094704
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5411043-UNIV	UNIV	43.004070035103965
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5771350-UNIV	UNIV	43.00432771562248
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	5846009-UNIV	UNIV	43.004371000651034
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	6005271-UNIV	UNIV	42.82671593637358
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	6420706-RANDOM	RANDOM	42.978857245244185
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	6614066-UNIV	UNIV	43.004414440967544
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	662930-UNIV	UNIV	42.82663241319538
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	6701021-RANDOM	RANDOM	43.23432259123593
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	6853123-RANDOM	RANDOM	42.822698863123854
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	6882830-RANDOM	RANDOM	43.09180420887591
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	7080132-UNIV	UNIV	43.00433703395828
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	7148843-RANDOM	RANDOM	42.82653140705236
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	7250727-RANDOM	RANDOM	43.23469021907327
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	7557625-RANDOM	RANDOM	43.19999133761007
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	7562616-UNIV	UNIV	42.979368574755185
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	7643138-RANDOM	RANDOM	43.23608854949498
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	7661497-UNIV	UNIV	43.004165196869906
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	7789419-RANDOM	RANDOM	43.234948582331526
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	7840015-RANDOM	RANDOM	42.82654035755009
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	7855896-RANDOM	RANDOM	43.23501963891721
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	7868771-UNIV	UNIV	43.00356431726455
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	7931342-UNIV	UNIV	43.004300362732614
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	7948868-RANDOM	RANDOM	43.004392117147894
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	7986222-RANDOM	RANDOM	43.0917991230343
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	8042271-UNIV	UNIV	43.00409910317131
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	8267375-RANDOM	RANDOM	42.97823577983519
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	8286112-RANDOM	RANDOM	43.19974950821407
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	8324486-RANDOM	RANDOM	43.00442589520754
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	8444532-UNIV	UNIV	42.82660065630735
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	8519841-RANDOM	RANDOM	42.82653124309815
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	8660801-UNIV	UNIV	43.00394908510647
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	8686894-UNIV	UNIV	42.979378230976565
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	8746057-UNIV	UNIV	43.004428440016945
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	8753667-UNIV	UNIV	43.00382374648662
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	8806788-RANDOM	RANDOM	43.20015546462591
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	8955491-RANDOM	RANDOM	43.23477879969508
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	9313789-RANDOM	RANDOM	42.97902237192884
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	9348096-RANDOM	RANDOM	43.00450239538913
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	9381029-RANDOM	RANDOM	42.82641933993591
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	9391837-RANDOM	RANDOM	42.97849002636799
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	9785537-RANDOM	RANDOM	43.199877804518515
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	9902883-RANDOM	RANDOM	42.97840096368436
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	9961161-RANDOM	RANDOM	43.19939302877857
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	REAL	REAL	42.82662828828978
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	REVERSE	REVERSE	43.23633281279549
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	2138506-OPTIM	OPTIM	42.82650940528293
forWords_Turkish_RandomOrder_Nouns_Coarse_FineSurprisal.py	941541-OPTIM	OPTIM	42.82657231414226
