Script	Run	Model	AUC
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	1052889-UNIV	UNIV	34.29127999666066
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	1056004-UNIV	UNIV	34.32738658321881
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	1118938-UNIV	UNIV	34.34742247337772
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	12002-RANDOM	RANDOM	34.52432090234382
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	1295226-RANDOM	RANDOM	34.588540725568464
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	1299728-RANDOM	RANDOM	34.636170596957655
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	1341619-RANDOM	RANDOM	34.7434630622335
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	1587074-RANDOM	RANDOM	34.698406516400894
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	1635093-UNIV	UNIV	34.25997364714986
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	1698095-RANDOM	RANDOM	34.3739686955086
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	1703862-UNIV	UNIV	34.177519819147705
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	1707964-RANDOM	RANDOM	34.636841012217964
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	1845988-RANDOM	RANDOM	34.49684291267293
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	1950338-RANDOM	RANDOM	34.38013978914059
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	2025212-RANDOM	RANDOM	34.78591133434292
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	2051391-RANDOM	RANDOM	34.7094433966176
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	220459-UNIV	UNIV	34.72139484844984
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	2278998-UNIV	UNIV	34.36659867190752
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	2329620-UNIV	UNIV	34.3597699234992
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	2375012-RANDOM	RANDOM	34.57690765465692
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	2414013-RANDOM	RANDOM	34.62644201177088
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	2466469-UNIV	UNIV	34.25986154543786
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	2591150-UNIV	UNIV	34.299300391144214
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	2749827-UNIV	UNIV	34.18644019556416
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	2750005-RANDOM	RANDOM	34.64460909636949
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	29061-RANDOM	RANDOM	34.53802898344155
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	2906694-RANDOM	RANDOM	34.681237545052326
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	2941072-RANDOM	RANDOM	34.68587081902573
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	2947948-RANDOM	RANDOM	34.86106127340516
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	2962855-RANDOM	RANDOM	34.98718516020264
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	2987855-UNIV	UNIV	34.34755321941902
forWords_Turkish_RandomOrder_Coarse_FineSurprisal.py	3009440-RANDOM	RANDOM	34.67102857017622
