3PL_LAR	lAr
Agr_IM	Im
Agr_IZ	Iz
Agr_K	k
Agr_OPT_1Pl_ELIM	AlIm
Agr_OPT_1Pl_EYIM	AyIm
Agr_OPT_2Sg_a	A
Agr_SIN	sIn
Agr_SINIZ	sInIz
Gen_dir	dIr
MOOD_Pot_ebil	Abil
NUMPERS_Plur1	?
NUMPERS_Plur2	?
NUMPERS_Plur3	?
NUMPERS_Sing1	?
NUMPERS_Sing2	?
NUMPERS_Sing3	?
POLAR_Neg_ma	mA
TAM1_MAKTA	mAktA
TAM1_ACAK	AcAk
TAM1_AR	Ar
TAM1_IYOR	Iyor
TAM1_MALI_Nec	mAlI
TAM1_MIS1	mIş
TAM1_SA_Cnd	sA
TAM1_TI	dI
TAM2_DU	dI
TAM2_MIS2	mIş
TAM2_SA_Cnd	sA
VAL_Cau_tir	tIr
VOICE_Pass_il	Il
Vnoun_mak	mAk
TAM1_mIştI	mIştI
MOOD_Imperative_In	In
